,,+
g,DeadKey:ᄀᅠ.csv,
n,DeadKey:ᄂᅠ.csv,DeadKey:ᄋᅠ.csv
d,DeadKey:ᄃᅠ.csv,
r,DeadKey:ᄅᅠ.csv,
l,DeadKey:ᄅᅠ.csv,
m,DeadKey:ᄆᅠ.csv,
b,DeadKey:ᄇᅠ.csv,
s,DeadKey:ᄉᅠ.csv,
-,DeadKey:dash.csv,
j,DeadKey:ᄌᅠ.csv,
c,DeadKey:ᄎᅠ.csv,
k,DeadKey:ᄏᅠ.csv,
t,DeadKey:ᄐᅠ.csv,
p,DeadKey:ᄑᅠ.csv,
h,DeadKey:ᄒᅠ.csv,
a,DeadKey아,ᄋᆞ
e,에,애
o,오,어
u,우,으
i,이,의
y,,
w,,
v,v,V
w,w,W
x,x,X
y,y,Y
z,z,Z
Space, , 
1,1,!
2,2,@
3,3,#
4,4,$
5,5,%
6,6,^
7,7,&
8,8,*
9,9,(
0,0,)
`,`,~
[,[,{{}
],],{}}
',',""""
",",",",<
.,.,>
/,/,?
=,=,+
\,\,|
-,-,_
;,;,:
