,>{U+0301},
A,Á,
a,á,
E,É,
e,é,
I,Í,
i,í,
O,Ó,
o,ó,
U,Ú,
u,ú,
Y,Ý,
y,ý,
Æ,Ǽ,
æ,ǽ,
ø,ǿ,
Ï,Ḯ,
ï,ḯ,
Ü,Ǘ,
ü,ǘ,
Å,Ǻ,
å,ǻ,
Ē,Ḗ,
ē,ḗ,
ı,i̇́,i + Dot Above + Acute
Ō,Ṓ,
ō,ṓ,
Õ,Ṍ,
õ,ṍ,
Ũ,Ṹ,
ũ,ṹ,
Â,Ấ,
â,ấ,
Ê,Ế,
ê,ế,
Ô,Ố,
ô,ố,
Ă,Ắ,
ă,ắ,
C,Ć,
c,ć,
G,Ǵ,
g,ǵ,
K,Ḱ,
k,ḱ,
L,Ĺ,
l,ĺ,
M,Ḿ,
m,ḿ,
N,Ń,
n,ń,
P,Ṕ,
p,ṕ,
R,Ŕ,
r,ŕ,
S,Ś,
s,ś,
W,Ẃ,
w,ẃ,
Z,Ź,
z,ź,
ç,ḉ,
Ó,Ő,
ó,ő,
Ú,Ű,
ú,ű,
{U+0301},{U+030b},Acute + Acute = Double Acute (Extra-High Tone)
´,˝,
 ,´,
{U+0304},{U+1dc4},Macron + Acute = Mid-to-High Rising Tone
{U+0300},{U+030c},Grave + Acute = Caron (Rising Tone)
{U+0302},{U+1dc9},Circumflex + Acute = Dipping Tone
