FALSE,<‸,COMMENT
0,⁰,
1,¹,
2,²,
3,³,
4,⁴,
5,⁵,
6,⁶,
7,⁷,
8,⁸,
9,⁹,
i,ⁱ,
{+},⁺,
−,⁻,
=,⁼,
(,⁽,
),⁾,
n,ⁿ,
V,ⱽ,
C,ꟲ,
F,ꟳ,
Q,ꟴ,
œ,ꟹ,
ɫ,ꭞ,
ʍ,ꭩ,
ː,𐞁,
ˑ,𐞂,
æ,𐞃,
ʙ,𐞄,
ʤ,𐞊,
ɖ,𐞋,
ɤ,𐞑,
ɢ,𐞒,
ħ,𐞕,
ʎ,𐞠,
ø,𐞢,
q,𐞥,
ɽ,𐞨,
ɾ,𐞩,
ʀ,𐞪,
ʧ,𐞮,
ʈ,𐞯,
ʏ,𐞲,
ʘ,𐞵,
ǀ,𐞶,
ǁ,𐞷,
ǂ,𐞸,
𝼊,𐞹,retroflex click
𝼞,𐞺,s with curl
h,ʰ,
ɦ,ʱ,
j,ʲ,
r,ʳ,
ɹ,ʴ,
ɻ,ʵ,
ʁ,ʶ,
w,ʷ,
y,ʸ,
ʔ,ˀ,
ɣ,ˠ,
l,ˡ,
s,ˢ,
x,ˣ,
ʕ,ˤ,
A,ᴬ,
Æ,ᴭ,
B,ᴮ,
D,ᴰ,
E,ᴱ,
G,ᴳ,
H,ᴴ,
I,ᴵ,
J,ᴶ,
K,ᴷ,
L,ᴸ,
M,ᴹ,
N,ᴺ,
O,ᴼ,
P,ᴾ,
R,ᴿ,
T,ᵀ,
U,ᵁ,
W,ᵂ,
a,ᵃ,
ɐ,ᵄ,
ɑ,ᵅ,
b,ᵇ,
d,ᵈ,
e,ᵉ,
ə,ᵊ,
ɛ,ᵋ,
g,ᵍ,
k,ᵏ,
m,ᵐ,
ŋ,ᵑ,
o,ᵒ,
ɔ,ᵓ,
p,ᵖ,
t,ᵗ,
u,ᵘ,
ɯ,ᵚ,
v,ᵛ,
ꞵ,ᵝ,
ꭓ,ᵡ,
ɒ,ᶛ,
c,ᶜ,
ɕ,ᶝ,
ð,ᶞ,
ɜ,ᶟ,
f,ᶠ,
ɟ,ᶡ,
ɡ,ᶢ,script (single story) g
ɥ,ᶣ,
ɨ,ᶤ,
ɪ,ᶦ,
ʝ,ᶨ,
ɭ,ᶩ,
ɱ,ᶬ,
ɰ,ᶭ,
ɲ,ᶮ,
ɳ,ᶯ,
ɴ,ᶰ,
ɵ,ᶱ,
ɸ,ᶲ,
ʂ,ᶳ,
ʃ,ᶴ,
ʉ,ᶶ,
ʊ,ᶷ,
ʋ,ᶹ,
ʌ,ᶺ,
z,ᶻ,
ʐ,ᶼ,
ʑ,ᶽ,
ʒ,ᶾ,
θ,ᶿ,
{!},ꜝ,
ǃ,ꜝ,the distinction between ! and ǃ is not observed in superscript.
¡,ꜞ,
-,{U+0305},"So I can type o̅v̅e̅r̅l̅i̅n̅e̅, needed for use of √x̅ and which is not strictly a superscript."
ç,ᶜ̧,this character uses combining cedilla and may not display properly
{Space},‸,caret character represents the idea of superscripting
o{U+0331},º,"ordinal indicators are not always underlined, but I use macron below to distinguish from ᵒ"
a{U+0331},ª,"ordinal indicators are not always underlined, but I use macron below to distinguish from ᵃ"
',ʼ,"not a superscript, but I put it in superscript because the ipa ejectives' superscripts use this character unmodified or the combining apostrophe U+0315, ˣ̕"
