,*,*+,CapsIsShift+,<^>!,<^>!+,CapsIsShift<^>!+
a,a,A,TRUE,ɑ,ɒ,FALSE
b,b,B,TRUE,ꞵ,ʙ,FALSE
c,c,C,TRUE,ɕ,ʑ,FALSE
d,d,D,TRUE,ð,DeadKey:dash.csv,FALSE
e,e,E,TRUE,ɛ,ø,FALSE
f,f,F,TRUE,ʁ,ʀ,FALSE
g,g,G,TRUE,ɡ,ɣ,FALSE
h,h,H,TRUE,ɦ,ħ,FALSE
i,i,I,TRUE,ɪ,ɨ,FALSE
j,j,J,TRUE,ə,ʝ,FALSE
k,k,K,TRUE,ɯ,ɰ,FALSE
l,l,L,TRUE,DeadKey:retroflex.csv,DeadKey:palatal.csv,FALSE
m,m,M,TRUE,ɱ,ɴ,FALSE
n,n,N,TRUE,ŋ,ȵ,FALSE
o,o,O,TRUE,ɔ,ɤ,FALSE
p,p,P,TRUE,ɸ,ɵ,FALSE
q,q,Q,TRUE,ɢ,{U+031a},FALSE
r,r,R,TRUE,ɹ,ɾ,FALSE
s,s,S,TRUE,ʃ,ʧ,FALSE
t,t,T,TRUE,θ,ɫ,FALSE
u,u,U,TRUE,ʊ,ʉ,FALSE
v,v,V,TRUE,ʌ,ɐ,FALSE
w,w,W,TRUE,ʍ,ʋ,FALSE
x,x,X,TRUE,ꭓ,DeadKey:click.csv,FALSE
y,y,Y,TRUE,ʏ,ɥ,FALSE
z,z,Z,TRUE,ʒ,ʤ,FALSE
Space, , ,FALSE,DeadKey:space.csv,DeadKey:space.csv,FALSE
1,1,{!},FALSE,‽,DeadKey:palatalCurl.csv,FALSE
2,2,@,FALSE,œ,Œ,TRUE
3,3,{#},FALSE,ɜ,{U+031d},FALSE
4,4,$,FALSE,DeadKey:toneLetter.csv,{U+031e},FALSE
5,5,%,FALSE,DeadKey:ringBelow.csv,DeadKey:ringAbove.csv,FALSE
6,6,{^},FALSE,DeadKey:circumflex.csv,DeadKey:superscript.csv,FALSE
7,7,&,FALSE,⁀,DeadKey:symbol.csv,FALSE
8,8,*,FALSE,‿,DeadKey:math.csv,FALSE
9,9,(,FALSE,{U+0361},⟨,FALSE
0,0,),FALSE,{U+035c},⟩,FALSE
`,`,~,FALSE,DeadKey:grave.csv,DeadKey:tilde.csv,FALSE
[,[,{{},FALSE,DeadKey:invertedBreveBelow.csv,DeadKey:invertedBreve.csv,FALSE
],],{}},FALSE,DeadKey:breve.csv,DeadKey:breveBelow.csv,FALSE
',',"""",FALSE,DeadKey:acute.csv,DeadKey:quote.csv,FALSE
",",",",<,FALSE,æ,Æ,TRUE
.,.,>,FALSE,DeadKey:dotBelow.csv,DeadKey:dotAbove.csv,FALSE
/,/,?,FALSE,ʔ,ʕ,FALSE
=,=,{+},FALSE,DeadKey:caron.csv,{U+031f},FALSE
\,\,|,FALSE,DeadKey:lowVerticalLine.csv,DeadKey:verticalLine.csv,FALSE
-,-,_,FALSE,DeadKey:macron.csv,DeadKey:macronBelow.csv,FALSE
;,;,:,FALSE,DeadKey:dieresis.csv,ː,FALSE
