,*,*+,CapsIsShift*+,*<^>!,*<^>!+,CapsIsShift*<^>!+
a,a,A,TRUE,ɑ,ɒ,FALSE
n,b,B,TRUE,ꞵ,ʙ,FALSE
i,c,C,TRUE,ɕ,ʑ,FALSE
h,d,D,TRUE,ð,DeadKey:dash.csv,FALSE
d,e,E,TRUE,ɛ,ø,FALSE
y,f,F,TRUE,ʁ,ʀ,FALSE
u,g,G,TRUE,ɡ,ɣ,FALSE
j,h,H,TRUE,ɦ,ħ,FALSE
g,i,I,TRUE,ɪ,ɨ,FALSE
c,j,J,TRUE,ə,ʝ,FALSE
v,k,K,TRUE,ɯ,ɰ,FALSE
p,l,L,TRUE,DeadKey:retroflex.csv,DeadKey:palatal.csv,FALSE
m,m,M,TRUE,ɱ,ɴ,FALSE
l,n,N,TRUE,ŋ,ȵ,FALSE
s,o,O,TRUE,ɔ,ɤ,FALSE
r,p,P,TRUE,ɸ,ɵ,FALSE
x,q,Q,TRUE,ɢ,{U+031a},FALSE
o,r,R,TRUE,ɹ,ɾ,FALSE
;,s,S,TRUE,ʃ,ʧ,FALSE
k,t,T,TRUE,θ,ɫ,FALSE
f,u,U,TRUE,ʊ,ʉ,FALSE
.,v,V,TRUE,ʌ,ɐ,FALSE
",",w,W,TRUE,ʍ,ʋ,FALSE
b,x,X,TRUE,ꭓ,DeadKey:click.csv,FALSE
t,y,Y,TRUE,ʏ,ɥ,FALSE
/,z,Z,TRUE,ʒ,ʤ,FALSE
Space, , ,FALSE,DeadKey:space.csv,DeadKey:space.csv,FALSE
1,1,{!},FALSE,‽,DeadKey:palatalCurl.csv,FALSE
2,2,@,FALSE,œ,Œ,TRUE
3,3,{#},FALSE,ɜ,{U+031d},FALSE
4,4,$,FALSE,DeadKey:toneLetter.csv,{U+031e},FALSE
5,5,%,FALSE,DeadKey:ringBelow.csv,DeadKey:ringAbove.csv,FALSE
6,6,{^},FALSE,DeadKey:circumflex.csv,DeadKey:superscript.csv,FALSE
7,7,&,FALSE,⁀,DeadKey:symbol.csv,FALSE
8,8,*,FALSE,‿,DeadKey:math.csv,FALSE
9,9,(,FALSE,{U+0361},⟨,FALSE
0,0,),FALSE,{U+035c},⟩,FALSE
`,`,~,FALSE,DeadKey:grave.csv,DeadKey:tilde.csv,FALSE
-,[,{{},FALSE,DeadKey:invertedBreveBelow.csv,DeadKey:invertedBreve.csv,FALSE
=,],{}},FALSE,DeadKey:breve.csv,DeadKey:breveBelow.csv,FALSE
q,',"""",FALSE,DeadKey:acute.csv,DeadKey:quote.csv,FALSE
w,",",<,FALSE,æ,Æ,TRUE
e,.,>,FALSE,DeadKey:dotBelow.csv,DeadKey:dotAbove.csv,FALSE
[,/,?,FALSE,ʔ,ʕ,FALSE
],=,{+},FALSE,DeadKey:caron.csv,{U+031f},FALSE
\,\,|,FALSE,DeadKey:lowVerticalLine.csv,DeadKey:verticalLine.csv,FALSE
',-,_,FALSE,DeadKey:macron.csv,DeadKey:macronBelow.csv,FALSE
z,;,:,FALSE,DeadKey:dieresis.csv,ː,FALSE
